028825;HBS_EU;01;03;10;02;10;;;;
305633;HBS_EU;01;03;10;02;10;;;;
305632;HBS_EU;01;03;10;02;10;;;;
619995;HBS_EU;01;03;10;02;10;;;;
B04747;HBS_EU;01;03;10;02;10;;;;
B04752;HBS_EU;01;03;10;02;10;;;;
B04755;HBS_EU;01;03;10;02;10;;;;
D84146;HBS_EU;01;03;10;02;10;;;;
D84215;HBS_EU;01;03;10;02;10;;;;
D84487;HBS_EU;01;03;10;02;10;;;;
D84485;HBS_EU;01;03;10;02;10;;;;
D87342;HBS_EU;01;03;10;02;10;;;;
D84705;HBS_EU;01;03;10;02;10;;;;
D84701;HBS_EU;01;03;10;02;10;;;;
D84706;HBS_EU;01;03;10;02;10;;;;
D84491;HBS_EU;01;03;10;02;10;;;;
D84492;HBS_EU;01;03;10;02;10;;;;
F32229;HBS_EU;01;03;10;02;10;;;;
D87349;HBS_EU;01;03;10;02;10;;;;
F39823;HBS_EU;01;03;10;02;10;;;;
F39825;HBS_EU;01;03;10;02;10;;;;
D84709;HBS_EU;01;03;10;02;10;;;;
F39850;HBS_EU;01;03;10;02;10;;;;
F39849;HBS_EU;01;03;10;02;10;;;;
F39837;HBS_EU;01;03;10;02;10;;;;
F39846;HBS_EU;01;03;10;02;10;;;;
F39859;HBS_EU;01;03;10;02;10;;;;
F48006;HBS_EU;01;03;10;02;10;;;;
F41033;HBS_EU;01;03;10;02;10;;;;
F48017;HBS_EU;01;03;10;02;10;;;;
F48009;HBS_EU;01;03;10;02;10;;;;
F48041;HBS_EU;01;03;10;02;10;;;;
F48049;HBS_EU;01;03;10;02;10;;;;
F80826;HBS_EU;01;03;10;02;10;;;;
F80850;HBS_EU;01;03;10;02;10;;;;
F83319;HBS_EU;01;03;10;02;10;;;;
F83333;HBS_EU;01;03;10;02;10;;;;
F83350;HBS_EU;01;03;10;02;10;;;;
F83353;HBS_EU;01;03;10;02;10;;;;
F89105;HBS_EU;01;03;10;02;10;;;;
